imdbID,imdbRating,Country,data_created_time,data_updateded_time
tt0088241,7.7,"Greece, West Germany, Italy, United Kingdom",2025-02-26,2025-02-26
tt0765442,6.5,"Greece, Italy, Germany, Russia, France",2025-02-26,2025-02-26
tt0445528,5.8,Hong Kong,2025-02-26,2025-02-26
tt0096288,7.9,"Greece, France, Italy",2025-02-26,2025-02-26
tt13317230,6.4,"Greece, Germany, Belgium",2025-02-26,2025-02-26
tt12618926,7.1,"Spain, France",2025-02-26,2025-02-26
tt12443220,6.0,Spain,2025-02-26,2025-02-26
tt11700260,7.0,"Spain, Argentina",2025-02-26,2025-02-26
tt8393332,5.4,Spain,2025-02-26,2025-02-26
tt15341168,6.6,Spain,2025-02-26,2025-02-26
tt11777920,5.2,"Spain, Senegal, Mexico",2025-02-26,2025-02-26
tt11797376,5.4,"Spain, Argentina, Germany",2025-02-26,2025-02-26
tt12500804,5.1,"Spain, Mexico",2025-02-26,2025-02-26
tt6277462,5.6,"India, United Kingdom, United States",2025-02-26,2025-02-26
tt13299890,8.1,India,2025-02-26,2025-02-26
tt9681686,7.4,"India, France, United States",2025-02-26,2025-02-26
tt16915972,6.7,Indonesia,2025-02-26,2025-02-26
tt15215918,6.6,Indonesia,2025-02-26,2025-02-26
tt9834506,5.5,Hungary,2025-02-26,2025-02-26
tt8205028,6.2,"Hungary, Germany, Italy, France",2025-02-26,2025-02-26
tt13882736,5.9,Iceland,2025-02-26,2025-02-26
tt0093342,8.1,Iran,2025-02-26,2025-02-26
tt0111845,7.7,"Iran, France",2025-02-26,2025-02-26
tt0105888,7.9,Iran,2025-02-26,2025-02-26
tt11777738,7.5,"Iran, France",2025-02-26,2025-02-26
tt11773484,7.1,"Iran, France",2025-02-26,2025-02-26
tt10514056,6.8,Canada,2025-02-26,2025-02-26
tt8767908,6.8,"Canada, France",2025-02-26,2025-02-26
tt14549466,5.8,"Canada, Greece, United Kingdom, France",2025-02-26,2025-02-26
tt9143112,6.5,"United Kingdom, Canada, United States",2025-02-26,2025-02-26
tt9204898,6.5,Canada,2025-02-26,2025-02-26
tt8372094,5.4,Canada,2025-02-26,2025-02-26
tt12532368,6.3,"Belgium, France, United States",2025-02-26,2025-02-26
tt11032374,8.2,Japan,2025-02-26,2025-02-26
tt14331144,7.8,Japan,2025-02-26,2025-02-26
tt16410438,6.9,Japan,2025-02-26,2025-02-26
tt9116358,7.0,Japan,2025-02-26,2025-02-26
tt13642590,7.1,Japan,2025-02-26,2025-02-26
tt15467380,6.9,Japan,2025-02-26,2025-02-26
tt16444750,6.9,Japan,2025-02-26,2025-02-26
tt0096283,8.1,Japan,2025-02-26,2025-02-26
tt17382524,7.0,Japan,2025-02-26,2025-02-26
tt14039582,7.5,Japan,2025-02-26,2025-02-26
tt15721650,7.3,Japan,2025-02-26,2025-02-26
tt21115444,7.1,Japan,2025-02-26,2025-02-26
tt21608894,N/A,Japan,2025-02-26,2025-02-26
tt12007484,6.7,Japan,2025-02-26,2025-02-26
tt14034966,7.5,Japan,2025-02-26,2025-02-26
tt15242330,8.1,Japan,2025-02-26,2025-02-26
tt10540510,7.1,Japan,2025-02-26,2025-02-26
tt14865506,7.2,Japan,2025-02-26,2025-02-26
tt13064272,7.0,Japan,2025-02-26,2025-02-26
tt14118266,6.5,Japan,2025-02-26,2025-02-26
tt15327548,6.8,Japan,2025-02-26,2025-02-26
tt15799550,7.7,Japan,2025-02-26,2025-02-26
tt15458866,4.9,Japan,2025-02-26,2025-02-26
tt10787472,6.1,Japan,2025-02-26,2025-02-26
tt11219254,7.5,Japan,2025-02-26,2025-02-26
tt15715792,7.5,Japan,2025-02-26,2025-02-26
tt13167612,N/A,Japan,2025-02-26,2025-02-26
tt15482370,6.8,"Japan, South Korea",2025-02-26,2025-02-26
tt0488103,4.8,"China, Hong Kong",2025-02-26,2025-02-26
tt14605210,N/A,Japan,2025-02-26,2025-02-26
tt11487698,6.3,Japan,2025-02-26,2025-02-26
tt17008472,6.4,Japan,2025-02-26,2025-02-26
tt1909796,7.7,Japan,2025-02-26,2025-02-26
tt14423692,N/A,Japan,2025-02-26,2025-02-26
tt21235352,5.4,Japan,2025-02-26,2025-02-26
tt0491652,7.4,Japan,2025-02-26,2025-02-26
tt11417856,6.4,Japan,2025-02-26,2025-02-26
tt13975458,4.5,Japan,2025-02-26,2025-02-26
tt13758684,6.8,Japan,2025-02-26,2025-02-26
