,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
10,False,/5CdmpTPn5RAHjdByNnJ4iw3cFfz.jpg,,0,"[{'id': 18, 'name': '剧情'}, {'id': 10749, 'name': '爱情'}]",,993885,tt22191360,['KR'],ko,시맨틱 에러: 더 무비,資工系大三生秋尚宇 (朴宰燦 飾) ，雖然成績優越並精通程式設計，卻是個沒有存在感的邊緣人。視覺設計系大四生張宰英 (朴栖含 飾)，則是個擁有模特兒身材與帥氣臉蛋的風雲人物。某次通識課報告上，秋尚宇把豬隊友從組員名單中刪除，連帶害得張宰英遭受延畢。不過，秋尚宇策畫製作的手遊出狀況，原本配合設計的學姐無法繼續合作，沒想到學姐推薦的另一位人選，正是因為「被延畢」而對秋尚宇心懷不滿的張宰英。究竟原則主義的理工男，遇上放蕩不羈的藝術男，個性截然不同的兩人，將會碰撞出什麼樣的火花呢？,2.532,/zQ1hc9OEqxUSkCoctcRjRGWhf20.jpg,"[{'id': 140163, 'logo_path': '/q67Iyada586WNxPdADWT47TCrWO.png', 'name': 'watcha', 'origin_country': 'KR'}, {'id': 110706, 'logo_path': '/vFns6HmcV18T2SRIBovpE6UFZh6.png', 'name': 'Raemongraein', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-08-31,600108,177,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,完美的日常，出現怦然心動的錯誤！,語意錯誤電影版,True,7.4,11
11,False,/fXmaCa7bE5mp9AMkVT8cKaI5GMK.jpg,,0,"[{'id': 53, 'name': '惊悚'}, {'id': 9648, 'name': '悬疑'}, {'id': 10749, 'name': '爱情'}]",,705996,tt12477480,['KR'],ko,헤어질 결심,一名男子從山頂墜落的變故事件，負責刑警海俊（朴海日），將面對死者的妻子徐來（湯唯）。在丈夫的面前，沒有表現出特別激動的徐來，警方將與普通遺屬不同的她列入嫌疑人名單。海俊是案發當天的不在場證明探詢和報紙，通過潜伏調查瞭解她，感覺到對她的關注越來越大。,40.141,/ukGPvnKW1BAwf3d8ORMEw0ayNiS.jpg,"[{'id': 34725, 'logo_path': '/cRqXC6Dy6AvTGS2wiMt26yGJgZA.png', 'name': 'Moho Film', 'origin_country': 'KR'}, {'id': 128404, 'logo_path': '/dP3usmr6di1jMPH738rvbxdkmSQ.png', 'name': 'CJ ENM', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-06-29,16914773,138,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,疑心愈重 愈是掛心,分手的決心,False,7.3,1230
12,False,/lonLErm7OcVR8gnc1t2kRwuuxDm.jpg,,0,"[{'id': 28, 'name': '动作'}, {'id': 80, 'name': '犯罪'}]",,606403,tt16529222,['KR'],ko,특송,銀河（朴素談 飾）是名特別的駕駛，只要能拿到報酬，不論什麼東西都能配送成功。某天在她讓孩子書元（鄭賢俊 飾）上車後，竟捲入了出乎意料的事件中……,15.191,/tHP7qOr91xcURHJXAdxinsDHO9s.jpg,"[{'id': 20064, 'logo_path': '/2In7Heq6DuXDjOwPmJqHWkpohaL.png', 'name': 'Next Entertainment World', 'origin_country': 'KR'}, {'id': 120829, 'logo_path': None, 'name': 'M Pictures', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-01-12,0,108,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,極速快遞,False,7.0,183
13,False,/p6YKmSgBU54L3MPeyXCS0mC0nM1.jpg,,6244195,"[{'id': 80, 'name': '犯罪'}, {'id': 53, 'name': '惊悚'}, {'id': 9648, 'name': '悬疑'}]",,634595,tt13182834,['KR'],ko,자백,敏豪遭威脅要爆料他外遇一事而只好前往某家飯店，卻被某人攻擊而昏倒。當他清醒時，卻發現婚外情對象世熙已身亡，在案發現場並無發現其他人的痕跡，因此敏豪立刻被認定為主嫌。原本是名成功企業家的敏豪，因為被視為嫌犯而陷入危機，為了拯救自己的一切，他找上了律師信愛。  訴訟勝率百分之百的信愛，為了打贏這次的官司，他要求敏豪必須對她坦白一切。在下雪的深山別墅裡見面的兩人，開始一片一片地拼起這事件的碎片，沒想到卻……,3.579,/ndlDgCjNbGnAFxFfQ4cSfVFUj1f.jpg,"[{'id': 3655, 'logo_path': '/bAn1qaqJRWwlTjzu3Ks6u3LrdMJ.png', 'name': 'Realies Pictures', 'origin_country': 'KR'}, {'id': 7819, 'logo_path': '/ghFZAt4edln0M7BzDExyYMzUGX1.png', 'name': 'Lotte Entertainment', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-10-26,0,105,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,一切的證據都指向他,局中局,True,7.3,39
14,False,,,0,"[{'id': 10402, 'name': '音乐'}, {'id': 99, 'name': '纪录'}]",,946615,tt19383926,['KR'],ko,세븐틴 파워 오브 러브 : 더 무비,,0.629,/mudITYrZyzvtJ7IZKtUJDuF3aTz.jpg,"[{'id': 130856, 'logo_path': '/qgUx2JVQdeaOIGbfr3zfr29mHbH.png', 'name': 'Pledis Entertainment', 'origin_country': 'KR'}, {'id': 170163, 'logo_path': '/n6MAcCk8qpmze5bxCrAvQv0wXRJ.png', 'name': 'HYBE', 'origin_country': 'KR'}, {'id': 147778, 'logo_path': '/bcN2GlMY5Jk2fRpMNdjunHGyWDG.png', 'name': 'CJ 4DFLEX', 'origin_country': 'KR'}, {'id': 210725, 'logo_path': None, 'name': 'ScreenX Studio', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-04-28,0,115,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,세븐틴 파워 오브 러브 : 더 무비,False,10.0,1
15,False,/ru2LECaGqWtsL3kRWWJ3EoDlF5J.jpg,,0,"[{'id': 53, 'name': '惊悚'}, {'id': 28, 'name': '动作'}, {'id': 18, 'name': '剧情'}]",,633374,tt21279122,['KR'],ko,리멤버,韓弼洙（李星民 飾）是名罹患阿茲海默症的腦瘤末期患者。在日本占領韓國時期，因為親日派的關係，讓他失去所有家人。在弼洙的妻子過世後，他打算去執行自己耗費60多年的時間所構思的復仇計畫。於是弼洙委託他的忘年之交——20多歲的仁奎（南柱赫 飾），擔任他一週的司機。毫不知情的仁奎跟著弼洙來到第一個復仇現場，沒想到卻被監視器拍到，成為頭號嫌犯。而在警方逐漸縮小搜查範圍時，弼洙則和漸漸消失的記憶拉鋸不休，繼續實行他的復仇計畫……,20.353,/mgMZ3dmGSPwwaT6MNHBhN7cvuUB.jpg,"[{'id': 88974, 'logo_path': '/yDG44v8mA0LTw32ZMYcXI4Rsnye.png', 'name': 'Moonlight Film', 'origin_country': 'KR'}, {'id': 113584, 'logo_path': '/8BSD4OLpa5DnXdXYX4jwf5cyb6D.png', 'name': 'Acemaker Movieworks', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-10-26,0,128,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,厄憶追凶,False,7.5,92
16,False,/o37Ajo7Ii9L9qi5tGxxAWodyCWt.jpg,,0,"[{'id': 35, 'name': '喜剧'}, {'id': 28, 'name': '动作'}, {'id': 53, 'name': '惊悚'}]",,629028,tt14140954,['KR'],ko,미션 파서블,根據線報，大量走私槍枝即將流入韓國，菜鳥特務流茶熙（李先彬 飾演）被指派前往韓國進行機密調查，為確保任務順利，進而尋求國情局的「優秀」臥底協助，卻陰錯陽差遇上笨手笨腳又貪財的私家偵探禹手罕（金英光 飾演）。,15.953,/feVcFwTnSQsuJ9YzPPnd09gwIx8.jpg,"[{'id': 20789, 'logo_path': '/qw7Hdf230EF9ZeH4nCRS0eAo7l3.png', 'name': 'Redrover', 'origin_country': 'KR'}, {'id': 119446, 'logo_path': '/OtKHwFyTlm5XUFMrWakECpve7T.png', 'name': 'kth', 'origin_country': 'KR'}, {'id': 126589, 'logo_path': None, 'name': 'GNOSIS COMPANY', 'origin_country': 'KR'}, {'id': 114519, 'logo_path': '/omfLDgUXKmXly7T7bWBpKstq3HP.png', 'name': 'Merry Christmas', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2021-02-17,0,105,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,最不可能的任務，就交給最母湯的特務！,金派特務,False,7.5,175
17,False,/gqqfN3XeWZcZZ2uQQEEFp3fHfSp.jpg,"{'id': 660359, 'name': '李舜臣三部曲', 'poster_path': '/mVlEPkFwpVZxiPKozoYMsU4WYaX.jpg', 'backdrop_path': '/a4vnfLHJ2LX4oNoX6InbgPj8deg.jpg'}",0,"[{'id': 10752, 'name': '战争'}, {'id': 28, 'name': '动作'}, {'id': 18, 'name': '剧情'}, {'id': 36, 'name': '历史'}]",,588108,tt21109538,['KR'],ko,한산: 용의 출현,"在鳴梁海戰發生的五年前，為了保衛陷入守勢狀態的朝鮮，李舜臣將軍與朝鮮水軍將以非凡的戰略和霸氣,展開氣勢磅礡的「閑山島海戰」。",24.548,/cte9iJwSk9oisyB9N1DZw4VZNCP.jpg,"[{'id': 53445, 'logo_path': '/dvrIsJffoUfNKb1CgeGFlDgOHEM.png', 'name': 'Big Stone Pictures', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-07-27,57490985,129,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,韓山島海戰,False,6.4,69
18,False,/qpMRsjLBI9tVL8T6kzgojbhfyyh.jpg,,0,"[{'id': 53, 'name': '惊悚'}, {'id': 9648, 'name': '悬疑'}]",,806128,tt23871504,['KR'],ko,올빼미,京秀（柳俊烈 飾）是名盲人，卻擁有精湛的針灸術，御醫李亨益認可他的才能，而讓他入宮。當時，遭清國以人質身分帶走的昭顯世子（金聖喆 飾）睽違8年回到朝鮮，開心迎接兒子歸國的仁祖（柳海真 飾），卻開始感到不安……某夜，在黑暗中擁有模糊視力的京秀，親眼目睹昭顯世子的死亡，在他打算揭開真相的瞬間，卻發現更大的陰謀和祕密，讓自己的性命受到威脅。兒子死後，仁祖內心的不安讓他性情變得暴躁。而目擊世子之死的京秀，也漸漸發現與事件有關人物的真實面貌……,5.664,/gOUr1n51b6S1OCMQBU5kxryUOSx.jpg,"[{'id': 63014, 'logo_path': '/fw6qEw1GXCKf6n51zwN7nJTG42S.png', 'name': 'CJeS Studios', 'origin_country': 'KR'}, {'id': 223660, 'logo_path': None, 'name': 'Damdam Film', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-11-23,0,118,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,晝盲神探,False,7.4,52
19,False,/fP5wcmD3m1AiZuFXMDWAZQ47fWq.jpg,,0,"[{'id': 99, 'name': '纪录'}, {'id': 10402, 'name': '音乐'}]",,1038198,tt23849218,['KR'],ko,엔시티 드림 더 무비: 인 어 드림,,1.132,/qydle2TgTz5Qq0bTeKItG5kcEwS.jpg,"[{'id': 99961, 'logo_path': '/gtBic6gQQHp9LyfBfhF17XqZXJE.png', 'name': 'SM Entertainment', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-11-30,0,100,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,엔시티 드림 더 무비: 인 어 드림,False,10.0,2
